window,extra_2,unique_users
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2876964.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2680556.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2164315.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2762882.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2330304.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2997015.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2213161.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2150749.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2458015.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2808853.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2938272.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2090331.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2863037.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2948740.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2786645.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2421358.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2932821.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2365963.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2751246.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2061104.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2882432.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2447735.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2395171.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2595703.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2244480.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2817626.,20
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2034471.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2832550.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2848326.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2507516.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2844431.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2880132.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2945888.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2599062.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2659870.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2286717.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2563989.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2143749.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2605999.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2361058.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2581787.,19
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2216909.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2508161.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2201184.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2410420.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2704756.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2505121.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2733014.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2663787.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2084906.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2963739.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2981380.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2683485.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2684084.,21
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2483244.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2813403.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2672263.,25
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2885447.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2381614.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2819504.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2052279.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2713964.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2941602.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2802003.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2031216.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2409566.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2810819.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2150193.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2734993.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2144088.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2685501.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2936430.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2047529.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2694445.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2273016.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2505336.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2039922.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2894201.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2119059.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2332834.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2179796.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2089033.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2838326.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2631192.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2163986.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2619484.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2956748.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2815461.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2307046.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2838209.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2169877.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2068261.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2955801.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2688157.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2858437.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2448432.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2153579.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2377596.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2837522.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2627384.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2275212.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2665593.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2198186.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2596220.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2099637.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2565397.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2319369.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2032846.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2068248.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2890443.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2519097.,22
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2047198.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2069555.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2048292.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2625624.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2878390.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2801480.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2825416.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2760756.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2771665.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2707579.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2717514.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2875813.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2708844.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2992148.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2639706.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2842137.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2987246.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2307088.,21
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2052494.,20
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2660296.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2789496.,8
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2505294.,9
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2050059.,11
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2734272.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2727248.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2143097.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2795224.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2424796.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2261068.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2860950.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2740246.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2582885.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2976587.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2617757.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2129688.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2238682.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2440521.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2113543.,1
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2499043.,13
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2423451.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2074898.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2791353.,12
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2766078.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2241958.,20
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2779139.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2993250.,4
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2007171.,15
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2602562.,7
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2448182.,18
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2358897.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2236209.,10
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2989799.,19
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2148512.,5
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2676341.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2127542.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2171076.,6
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2340889.,3
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2307883.,2
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2506552.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2244639.,17
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2492082.,14
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2366985.,16
"Row(start=Timestamp('2024-06-15 18:32:00'), end=Timestamp('2024-06-15 18:33:00'))",2345482.,15
